station_name,date_month,TAVG,TAVG_C
"LAGUARDIA AIRPORT, NY US",1994-01-01,25.8,-3.44
"LAGUARDIA AIRPORT, NY US",1994-02-01,30.2,-1
"LAGUARDIA AIRPORT, NY US",1994-03-01,40.5,4.72
"LAGUARDIA AIRPORT, NY US",1994-04-01,55.5,13.06
"LAGUARDIA AIRPORT, NY US",1994-05-01,62.1,16.72
"LAGUARDIA AIRPORT, NY US",1994-06-01,75.6,24.22
"LAGUARDIA AIRPORT, NY US",1994-07-01,80.6,27
"LAGUARDIA AIRPORT, NY US",1994-08-01,75.3,24.06
"LAGUARDIA AIRPORT, NY US",1994-09-01,68.8,20.44
"LAGUARDIA AIRPORT, NY US",1994-10-01,58.3,14.61
"LAGUARDIA AIRPORT, NY US",1994-11-01,51.8,11
"LAGUARDIA AIRPORT, NY US",1994-12-01,42.3,5.72
"LAGUARDIA AIRPORT, NY US",1995-01-01,37.9,3.28
"LAGUARDIA AIRPORT, NY US",1995-02-01,31.8,-0.11
"LAGUARDIA AIRPORT, NY US",1995-03-01,45,7.22
"LAGUARDIA AIRPORT, NY US",1995-04-01,52,11.11
"LAGUARDIA AIRPORT, NY US",1995-05-01,62.4,16.89
"LAGUARDIA AIRPORT, NY US",1995-06-01,72.4,22.44
"LAGUARDIA AIRPORT, NY US",1995-07-01,79.8,26.56
"LAGUARDIA AIRPORT, NY US",1995-08-01,79.1,26.17
"LAGUARDIA AIRPORT, NY US",1995-09-01,68.6,20.33
"LAGUARDIA AIRPORT, NY US",1995-10-01,63,17.22
"LAGUARDIA AIRPORT, NY US",1995-11-01,45.2,7.33
"LAGUARDIA AIRPORT, NY US",1995-12-01,34.1,1.17
"LAGUARDIA AIRPORT, NY US",1996-01-01,32,0
"LAGUARDIA AIRPORT, NY US",1996-02-01,35.1,1.72
"LAGUARDIA AIRPORT, NY US",1996-03-01,40,4.44
"LAGUARDIA AIRPORT, NY US",1996-04-01,52.2,11.22
"LAGUARDIA AIRPORT, NY US",1996-05-01,61,16.11
"LAGUARDIA AIRPORT, NY US",1996-06-01,71.5,21.94
"LAGUARDIA AIRPORT, NY US",1996-07-01,74.6,23.67
"LAGUARDIA AIRPORT, NY US",1996-08-01,75.6,24.22
"LAGUARDIA AIRPORT, NY US",1996-09-01,69.8,21
"LAGUARDIA AIRPORT, NY US",1996-10-01,57.9,14.39
"LAGUARDIA AIRPORT, NY US",1996-11-01,43.9,6.61
"LAGUARDIA AIRPORT, NY US",1996-12-01,41.8,5.44
"LAGUARDIA AIRPORT, NY US",1997-01-01,32.7,0.39
"LAGUARDIA AIRPORT, NY US",1997-02-01,40.4,4.67
"LAGUARDIA AIRPORT, NY US",1997-03-01,42,5.56
"LAGUARDIA AIRPORT, NY US",1997-04-01,52.6,11.44
"LAGUARDIA AIRPORT, NY US",1997-05-01,60,15.56
"LAGUARDIA AIRPORT, NY US",1997-06-01,72.4,22.44
"LAGUARDIA AIRPORT, NY US",1997-07-01,77.1,25.06
"LAGUARDIA AIRPORT, NY US",1997-08-01,75,23.89
"LAGUARDIA AIRPORT, NY US",1997-09-01,68.7,20.39
"LAGUARDIA AIRPORT, NY US",1997-10-01,58.3,14.61
"LAGUARDIA AIRPORT, NY US",1997-11-01,45.4,7.44
"LAGUARDIA AIRPORT, NY US",1997-12-01,39.1,3.94
"LAGUARDIA AIRPORT, NY US",1998-01-01,40.2,4.56
"LAGUARDIA AIRPORT, NY US",1998-02-01,40.8,4.89
"LAGUARDIA AIRPORT, NY US",1998-03-01,45,7.22
"LAGUARDIA AIRPORT, NY US",1998-04-01,53.8,12.11
"LAGUARDIA AIRPORT, NY US",1998-05-01,64.8,18.22
"LAGUARDIA AIRPORT, NY US",1998-06-01,70,21.11
"LAGUARDIA AIRPORT, NY US",1998-07-01,78,25.56
"LAGUARDIA AIRPORT, NY US",1998-08-01,77.9,25.5
"LAGUARDIA AIRPORT, NY US",1998-09-01,71.6,22
"LAGUARDIA AIRPORT, NY US",1998-10-01,58.9,14.94
"LAGUARDIA AIRPORT, NY US",1998-11-01,49,9.44
"LAGUARDIA AIRPORT, NY US",1998-12-01,44,6.67
"LAGUARDIA AIRPORT, NY US",1999-01-01,33.9,1.06
"LAGUARDIA AIRPORT, NY US",1999-02-01,37.6,3.11
"LAGUARDIA AIRPORT, NY US",1999-03-01,42.7,5.94
"LAGUARDIA AIRPORT, NY US",1999-04-01,53.4,11.89
"LAGUARDIA AIRPORT, NY US",1999-05-01,63.1,17.28
"LAGUARDIA AIRPORT, NY US",1999-06-01,73.9,23.28
"LAGUARDIA AIRPORT, NY US",1999-07-01,81.9,27.72
"LAGUARDIA AIRPORT, NY US",1999-08-01,76.4,24.67
"LAGUARDIA AIRPORT, NY US",1999-09-01,70.2,21.22
"LAGUARDIA AIRPORT, NY US",1999-10-01,57.5,14.17
"LAGUARDIA AIRPORT, NY US",1999-11-01,51.4,10.78
"LAGUARDIA AIRPORT, NY US",1999-12-01,40.8,4.89
"LAGUARDIA AIRPORT, NY US",2000-01-01,32,0
"LAGUARDIA AIRPORT, NY US",2000-02-01,37.4,3
"LAGUARDIA AIRPORT, NY US",2000-03-01,47,8.33
"LAGUARDIA AIRPORT, NY US",2000-04-01,51,10.56
"LAGUARDIA AIRPORT, NY US",2000-05-01,63.4,17.44
"LAGUARDIA AIRPORT, NY US",2000-06-01,72.3,22.39
"LAGUARDIA AIRPORT, NY US",2000-07-01,73.5,23.06
"LAGUARDIA AIRPORT, NY US",2000-08-01,74.4,23.56
"LAGUARDIA AIRPORT, NY US",2000-09-01,68.2,20.11
"LAGUARDIA AIRPORT, NY US",2000-10-01,59,15
"LAGUARDIA AIRPORT, NY US",2000-11-01,46.5,8.06
"LAGUARDIA AIRPORT, NY US",2000-12-01,32.1,0.06
"LAGUARDIA AIRPORT, NY US",2001-01-01,34.1,1.17
"LAGUARDIA AIRPORT, NY US",2001-02-01,36,2.22
"LAGUARDIA AIRPORT, NY US",2001-03-01,39.6,4.22
"LAGUARDIA AIRPORT, NY US",2001-04-01,53.5,11.94
"LAGUARDIA AIRPORT, NY US",2001-05-01,64,17.78
"LAGUARDIA AIRPORT, NY US",2001-06-01,74.4,23.56
"LAGUARDIA AIRPORT, NY US",2001-07-01,75,23.89
"LAGUARDIA AIRPORT, NY US",2001-08-01,79.8,26.56
"LAGUARDIA AIRPORT, NY US",2001-09-01,69.1,20.61
"LAGUARDIA AIRPORT, NY US",2001-10-01,59.9,15.5
"LAGUARDIA AIRPORT, NY US",2001-11-01,53.5,11.94
"LAGUARDIA AIRPORT, NY US",2001-12-01,44.6,7
"LAGUARDIA AIRPORT, NY US",2002-01-01,40.4,4.67
"LAGUARDIA AIRPORT, NY US",2002-02-01,40.8,4.89
"LAGUARDIA AIRPORT, NY US",2002-03-01,44.2,6.78
"LAGUARDIA AIRPORT, NY US",2002-04-01,55.5,13.06
"LAGUARDIA AIRPORT, NY US",2002-05-01,60.9,16.06
"LAGUARDIA AIRPORT, NY US",2002-06-01,72.6,22.56
"LAGUARDIA AIRPORT, NY US",2002-07-01,79.5,26.39
"LAGUARDIA AIRPORT, NY US",2002-08-01,78.5,25.83
"LAGUARDIA AIRPORT, NY US",2002-09-01,71.3,21.83
"LAGUARDIA AIRPORT, NY US",2002-10-01,56.5,13.61
"LAGUARDIA AIRPORT, NY US",2002-11-01,46.4,8
"LAGUARDIA AIRPORT, NY US",2002-12-01,36.7,2.61
"LAGUARDIA AIRPORT, NY US",2003-01-01,28,-2.22
"LAGUARDIA AIRPORT, NY US",2003-02-01,30.2,-1
"LAGUARDIA AIRPORT, NY US",2003-03-01,42.4,5.78
"LAGUARDIA AIRPORT, NY US",2003-04-01,49.2,9.56
"LAGUARDIA AIRPORT, NY US",2003-05-01,58.6,14.78
"LAGUARDIA AIRPORT, NY US",2003-06-01,69.1,20.61
"LAGUARDIA AIRPORT, NY US",2003-07-01,77.4,25.22
"LAGUARDIA AIRPORT, NY US",2003-08-01,78.2,25.67
"LAGUARDIA AIRPORT, NY US",2003-09-01,69.5,20.83
"LAGUARDIA AIRPORT, NY US",2003-10-01,56.5,13.61
"LAGUARDIA AIRPORT, NY US",2003-11-01,51.1,10.61
"LAGUARDIA AIRPORT, NY US",2003-12-01,38.7,3.72
"LAGUARDIA AIRPORT, NY US",2004-01-01,25.6,-3.56
"LAGUARDIA AIRPORT, NY US",2004-02-01,35.3,1.83
"LAGUARDIA AIRPORT, NY US",2004-03-01,43.2,6.22
"LAGUARDIA AIRPORT, NY US",2004-04-01,53.1,11.72
"LAGUARDIA AIRPORT, NY US",2004-05-01,64.6,18.11
"LAGUARDIA AIRPORT, NY US",2004-06-01,72.4,22.44
"LAGUARDIA AIRPORT, NY US",2004-07-01,75.9,24.39
"LAGUARDIA AIRPORT, NY US",2004-08-01,75.4,24.11
"LAGUARDIA AIRPORT, NY US",2004-09-01,70.6,21.44
"LAGUARDIA AIRPORT, NY US",2004-10-01,57.6,14.22
"LAGUARDIA AIRPORT, NY US",2004-11-01,49.1,9.5
"LAGUARDIA AIRPORT, NY US",2004-12-01,38.2,3.44
"LAGUARDIA AIRPORT, NY US",2005-01-01,30.7,-0.72
"LAGUARDIA AIRPORT, NY US",2005-02-01,35.7,2.06
"LAGUARDIA AIRPORT, NY US",2005-03-01,38.7,3.72
"LAGUARDIA AIRPORT, NY US",2005-04-01,54.3,12.39
"LAGUARDIA AIRPORT, NY US",2005-05-01,58.8,14.89
"LAGUARDIA AIRPORT, NY US",2005-06-01,74.5,23.61
"LAGUARDIA AIRPORT, NY US",2005-07-01,78.5,25.83
"LAGUARDIA AIRPORT, NY US",2005-08-01,80.9,27.17
"LAGUARDIA AIRPORT, NY US",2005-09-01,74.9,23.83
"LAGUARDIA AIRPORT, NY US",2005-10-01,59.8,15.44
"LAGUARDIA AIRPORT, NY US",2005-11-01,51.1,10.61
"LAGUARDIA AIRPORT, NY US",2005-12-01,36.4,2.44
"LAGUARDIA AIRPORT, NY US",2006-01-01,41.5,5.28
"LAGUARDIA AIRPORT, NY US",2006-02-01,36.8,2.67
"LAGUARDIA AIRPORT, NY US",2006-03-01,44,6.67
"LAGUARDIA AIRPORT, NY US",2006-04-01,56.2,13.44
"LAGUARDIA AIRPORT, NY US",2006-05-01,63.9,17.72
"LAGUARDIA AIRPORT, NY US",2006-06-01,73.4,23
"LAGUARDIA AIRPORT, NY US",2006-07-01,80.7,27.06
"LAGUARDIA AIRPORT, NY US",2006-08-01,78.2,25.67
"LAGUARDIA AIRPORT, NY US",2006-09-01,69,20.56
"LAGUARDIA AIRPORT, NY US",2006-10-01,59,15
"LAGUARDIA AIRPORT, NY US",2006-11-01,53.4,11.89
"LAGUARDIA AIRPORT, NY US",2006-12-01,45.4,7.44
"LAGUARDIA AIRPORT, NY US",2007-01-01,38.9,3.83
"LAGUARDIA AIRPORT, NY US",2007-02-01,29.7,-1.28
"LAGUARDIA AIRPORT, NY US",2007-03-01,42.7,5.94
"LAGUARDIA AIRPORT, NY US",2007-04-01,51.1,10.61
"LAGUARDIA AIRPORT, NY US",2007-05-01,66.7,19.28
"LAGUARDIA AIRPORT, NY US",2007-06-01,73.9,23.28
"LAGUARDIA AIRPORT, NY US",2007-07-01,77.7,25.39
"LAGUARDIA AIRPORT, NY US",2007-08-01,77.1,25.06
"LAGUARDIA AIRPORT, NY US",2007-09-01,73,22.78
"LAGUARDIA AIRPORT, NY US",2007-10-01,65.5,18.61
"LAGUARDIA AIRPORT, NY US",2007-11-01,47.2,8.44
"LAGUARDIA AIRPORT, NY US",2007-12-01,38.6,3.67
"LAGUARDIA AIRPORT, NY US",2008-01-01,37.6,3.11
"LAGUARDIA AIRPORT, NY US",2008-02-01,36.8,2.67
"LAGUARDIA AIRPORT, NY US",2008-03-01,43,6.11
"LAGUARDIA AIRPORT, NY US",2008-04-01,54.2,12.33
"LAGUARDIA AIRPORT, NY US",2008-05-01,61.1,16.17
"LAGUARDIA AIRPORT, NY US",2008-06-01,75.7,24.28
"LAGUARDIA AIRPORT, NY US",2008-07-01,80,26.67
"LAGUARDIA AIRPORT, NY US",2008-08-01,75,23.89
"LAGUARDIA AIRPORT, NY US",2008-09-01,70.4,21.33
"LAGUARDIA AIRPORT, NY US",2008-10-01,57.2,14
"LAGUARDIA AIRPORT, NY US",2008-11-01,46.8,8.22
"LAGUARDIA AIRPORT, NY US",2008-12-01,39,3.89
"LAGUARDIA AIRPORT, NY US",2009-01-01,28.9,-1.72
"LAGUARDIA AIRPORT, NY US",2009-02-01,36.9,2.72
"LAGUARDIA AIRPORT, NY US",2009-03-01,41.8,5.44
"LAGUARDIA AIRPORT, NY US",2009-04-01,54,12.22
"LAGUARDIA AIRPORT, NY US",2009-05-01,62.8,17.11
"LAGUARDIA AIRPORT, NY US",2009-06-01,68.3,20.17
"LAGUARDIA AIRPORT, NY US",2009-07-01,74.5,23.61
"LAGUARDIA AIRPORT, NY US",2009-08-01,77.7,25.39
"LAGUARDIA AIRPORT, NY US",2009-09-01,68,20
"LAGUARDIA AIRPORT, NY US",2009-10-01,56.8,13.78
"LAGUARDIA AIRPORT, NY US",2009-11-01,51.9,11.06
"LAGUARDIA AIRPORT, NY US",2009-12-01,36.9,2.72
"LAGUARDIA AIRPORT, NY US",2010-01-01,33,0.56
"LAGUARDIA AIRPORT, NY US",2010-02-01,33.8,1
"LAGUARDIA AIRPORT, NY US",2010-03-01,48,8.89
"LAGUARDIA AIRPORT, NY US",2010-04-01,58,14.44
"LAGUARDIA AIRPORT, NY US",2010-05-01,66.2,19
"LAGUARDIA AIRPORT, NY US",2010-06-01,76,24.44
"LAGUARDIA AIRPORT, NY US",2010-07-01,82.8,28.22
"LAGUARDIA AIRPORT, NY US",2010-08-01,78.6,25.89
"LAGUARDIA AIRPORT, NY US",2010-09-01,72.5,22.5
"LAGUARDIA AIRPORT, NY US",2010-10-01,60.2,15.67
"LAGUARDIA AIRPORT, NY US",2010-11-01,49.4,9.67
"LAGUARDIA AIRPORT, NY US",2010-12-01,35,1.67
"LAGUARDIA AIRPORT, NY US",2011-01-01,31.9,-0.06
"LAGUARDIA AIRPORT, NY US",2011-02-01,36.5,2.5
"LAGUARDIA AIRPORT, NY US",2011-03-01,41.9,5.5
"LAGUARDIA AIRPORT, NY US",2011-04-01,53.1,11.72
"LAGUARDIA AIRPORT, NY US",2011-05-01,63.4,17.44
"LAGUARDIA AIRPORT, NY US",2011-06-01,72.6,22.56
"LAGUARDIA AIRPORT, NY US",2011-07-01,80.4,26.89
"LAGUARDIA AIRPORT, NY US",2011-08-01,76,24.44
"LAGUARDIA AIRPORT, NY US",2011-09-01,70.7,21.5
"LAGUARDIA AIRPORT, NY US",2011-10-01,58.3,14.61
"LAGUARDIA AIRPORT, NY US",2011-11-01,52.1,11.17
"LAGUARDIA AIRPORT, NY US",2011-12-01,43.3,6.28
"LAGUARDIA AIRPORT, NY US",2012-01-01,37.5,3.06
"LAGUARDIA AIRPORT, NY US",2012-02-01,41.4,5.22
"LAGUARDIA AIRPORT, NY US",2012-03-01,50.8,10.44
"LAGUARDIA AIRPORT, NY US",2012-04-01,55.7,13.17
"LAGUARDIA AIRPORT, NY US",2012-05-01,65.8,18.78
"LAGUARDIA AIRPORT, NY US",2012-06-01,72.9,22.72
"LAGUARDIA AIRPORT, NY US",2012-07-01,80.4,26.89
"LAGUARDIA AIRPORT, NY US",2012-08-01,78.7,25.94
"LAGUARDIA AIRPORT, NY US",2012-09-01,70.7,21.5
"LAGUARDIA AIRPORT, NY US",2012-10-01,60,15.56
"LAGUARDIA AIRPORT, NY US",2012-11-01,45,7.22
"LAGUARDIA AIRPORT, NY US",2012-12-01,42.7,5.94
"LAGUARDIA AIRPORT, NY US",2013-01-01,35.8,2.11
"LAGUARDIA AIRPORT, NY US",2013-02-01,34.5,1.39
"LAGUARDIA AIRPORT, NY US",2013-03-01,40.5,4.72
"LAGUARDIA AIRPORT, NY US",2013-04-01,52.7,11.5
"LAGUARDIA AIRPORT, NY US",2013-05-01,63.5,17.5
"LAGUARDIA AIRPORT, NY US",2013-06-01,74,23.33
"LAGUARDIA AIRPORT, NY US",2013-07-01,81.2,27.33
"LAGUARDIA AIRPORT, NY US",2013-08-01,75.8,24.33
"LAGUARDIA AIRPORT, NY US",2013-09-01,68.1,20.06
"LAGUARDIA AIRPORT, NY US",2013-10-01,60.9,16.06
"LAGUARDIA AIRPORT, NY US",2013-11-01,45.5,7.5
"LAGUARDIA AIRPORT, NY US",2013-12-01,38.2,3.44
"LAGUARDIA AIRPORT, NY US",2014-01-01,28.8,-1.78
"LAGUARDIA AIRPORT, NY US",2014-02-01,31.4,-0.33
"LAGUARDIA AIRPORT, NY US",2014-03-01,37.2,2.89
"LAGUARDIA AIRPORT, NY US",2014-04-01,51,10.56
"LAGUARDIA AIRPORT, NY US",2014-05-01,63.4,17.44
"LAGUARDIA AIRPORT, NY US",2014-06-01,72.5,22.5
"LAGUARDIA AIRPORT, NY US",2014-07-01,77,25
"LAGUARDIA AIRPORT, NY US",2014-08-01,75.1,23.94
"LAGUARDIA AIRPORT, NY US",2014-09-01,70.4,21.33
"LAGUARDIA AIRPORT, NY US",2014-10-01,60.3,15.72
"LAGUARDIA AIRPORT, NY US",2014-11-01,45.5,7.5
"LAGUARDIA AIRPORT, NY US",2014-12-01,40.6,4.78
"LAGUARDIA AIRPORT, NY US",2015-01-01,29.9,-1.17
"LAGUARDIA AIRPORT, NY US",2015-02-01,24.3,-4.28
"LAGUARDIA AIRPORT, NY US",2015-03-01,37.9,3.28
"LAGUARDIA AIRPORT, NY US",2015-04-01,53.3,11.83
"LAGUARDIA AIRPORT, NY US",2015-05-01,67,19.44
"LAGUARDIA AIRPORT, NY US",2015-06-01,71.3,21.83
"LAGUARDIA AIRPORT, NY US",2015-07-01,79.2,26.22
"LAGUARDIA AIRPORT, NY US",2015-08-01,79.3,26.28
"LAGUARDIA AIRPORT, NY US",2015-09-01,74.1,23.39
"LAGUARDIA AIRPORT, NY US",2015-10-01,58.4,14.67
"LAGUARDIA AIRPORT, NY US",2015-11-01,53.3,11.83
"LAGUARDIA AIRPORT, NY US",2015-12-01,50.8,10.44
"LAGUARDIA AIRPORT, NY US",2016-01-01,35.7,2.06
"LAGUARDIA AIRPORT, NY US",2016-02-01,38.4,3.56
"LAGUARDIA AIRPORT, NY US",2016-03-01,49,9.44
"LAGUARDIA AIRPORT, NY US",2016-04-01,53.2,11.78
"LAGUARDIA AIRPORT, NY US",2016-05-01,63.6,17.56
"LAGUARDIA AIRPORT, NY US",2016-06-01,73.6,23.11
"LAGUARDIA AIRPORT, NY US",2016-07-01,81.1,27.28
"LAGUARDIA AIRPORT, NY US",2016-08-01,81.6,27.56
"LAGUARDIA AIRPORT, NY US",2016-09-01,73.8,23.22
"LAGUARDIA AIRPORT, NY US",2016-10-01,61.2,16.22
"LAGUARDIA AIRPORT, NY US",2016-11-01,52.4,11.33
"LAGUARDIA AIRPORT, NY US",2016-12-01,40.3,4.61
"LAGUARDIA AIRPORT, NY US",2017-01-01,39.7,4.28
"LAGUARDIA AIRPORT, NY US",2017-02-01,42.8,6
"LAGUARDIA AIRPORT, NY US",2017-03-01,41,5
"LAGUARDIA AIRPORT, NY US",2017-04-01,57.6,14.22
"LAGUARDIA AIRPORT, NY US",2017-05-01,63.2,17.33
"LAGUARDIA AIRPORT, NY US",2017-06-01,73.6,23.11
"LAGUARDIA AIRPORT, NY US",2017-07-01,78.1,25.61
"LAGUARDIA AIRPORT, NY US",2017-08-01,75.4,24.11
"LAGUARDIA AIRPORT, NY US",2017-09-01,71.5,21.94
"LAGUARDIA AIRPORT, NY US",2017-10-01,65.5,18.61
"LAGUARDIA AIRPORT, NY US",2017-11-01,48,8.89
"LAGUARDIA AIRPORT, NY US",2017-12-01,36.3,2.39
"LAGUARDIA AIRPORT, NY US",2018-01-01,31.5,-0.28
"LAGUARDIA AIRPORT, NY US",2018-02-01,42.5,5.83
"LAGUARDIA AIRPORT, NY US",2018-03-01,40.8,4.89
"LAGUARDIA AIRPORT, NY US",2018-04-01,49.4,9.67
"LAGUARDIA AIRPORT, NY US",2018-05-01,67.4,19.67
"LAGUARDIA AIRPORT, NY US",2018-06-01,72.9,22.72
"LAGUARDIA AIRPORT, NY US",2018-07-01,79.8,26.56
"LAGUARDIA AIRPORT, NY US",2018-08-01,81,27.22
"LAGUARDIA AIRPORT, NY US",2018-09-01,72.8,22.67
"LAGUARDIA AIRPORT, NY US",2018-10-01,59.8,15.44
"LAGUARDIA AIRPORT, NY US",2018-11-01,45.6,7.56
"LAGUARDIA AIRPORT, NY US",2018-12-01,40.5,4.72
"LAGUARDIA AIRPORT, NY US",2019-01-01,33.2,0.67
"LAGUARDIA AIRPORT, NY US",2019-02-01,35.9,2.17
"LAGUARDIA AIRPORT, NY US",2019-03-01,41.2,5.11
"LAGUARDIA AIRPORT, NY US",2019-04-01,54.2,12.33
"LAGUARDIA AIRPORT, NY US",2019-05-01,62,16.67
"LAGUARDIA AIRPORT, NY US",2019-06-01,72.8,22.67
"LAGUARDIA AIRPORT, NY US",2019-07-01,81.5,27.5
"LAGUARDIA AIRPORT, NY US",2019-08-01,77.6,25.33
"LAGUARDIA AIRPORT, NY US",2019-09-01,72.1,22.28
"LAGUARDIA AIRPORT, NY US",2019-10-01,60.9,16.06
"LAGUARDIA AIRPORT, NY US",2019-11-01,44.6,7
"LAGUARDIA AIRPORT, NY US",2019-12-01,38.9,3.83
"LAGUARDIA AIRPORT, NY US",2020-01-01,38.9,3.83
"LAGUARDIA AIRPORT, NY US",2020-01-01,38.9,3.83
"LAGUARDIA AIRPORT, NY US",2020-02-01,39.9,4.39
"LAGUARDIA AIRPORT, NY US",2020-02-01,39.9,4.39
"LAGUARDIA AIRPORT, NY US",2020-03-01,48.1,8.94
"LAGUARDIA AIRPORT, NY US",2020-03-01,48.1,8.94
"LAGUARDIA AIRPORT, NY US",2020-04-01,50.6,10.33
"LAGUARDIA AIRPORT, NY US",2020-04-01,50.6,10.33
"LAGUARDIA AIRPORT, NY US",2020-05-01,60.8,16
"LAGUARDIA AIRPORT, NY US",2020-05-01,60.8,16
"LAGUARDIA AIRPORT, NY US",2020-06-01,75.9,24.39
"LAGUARDIA AIRPORT, NY US",2020-06-01,75.9,24.39
"LAGUARDIA AIRPORT, NY US",2020-07-01,82.8,28.22
"LAGUARDIA AIRPORT, NY US",2020-07-01,82.8,28.22
"LAGUARDIA AIRPORT, NY US",2020-08-01,79.7,26.5
"LAGUARDIA AIRPORT, NY US",2020-08-01,79.7,26.5
"LAGUARDIA AIRPORT, NY US",2020-09-01,71.1,21.72
"LAGUARDIA AIRPORT, NY US",2020-09-01,71.1,21.72
"LAGUARDIA AIRPORT, NY US",2020-10-01,59.9,15.5
"LAGUARDIA AIRPORT, NY US",2020-10-01,59.9,15.5
"LAGUARDIA AIRPORT, NY US",2020-11-01,54.3,12.39
"LAGUARDIA AIRPORT, NY US",2020-11-01,54.3,12.39
"LAGUARDIA AIRPORT, NY US",2020-12-01,40.9,4.94
"LAGUARDIA AIRPORT, NY US",2020-12-01,40.9,4.94
"LAGUARDIA AIRPORT, NY US",2021-01-01,36.7,2.61
"LAGUARDIA AIRPORT, NY US",2021-02-01,35.1,1.72
"LAGUARDIA AIRPORT, NY US",2021-03-01,45.4,7.44
"LAGUARDIA AIRPORT, NY US",2021-04-01,54.7,12.61
"LAGUARDIA AIRPORT, NY US",2021-05-01,63.4,17.44
"LAGUARDIA AIRPORT, NY US",2021-06-01,75.6,24.22
"LAGUARDIA AIRPORT, NY US",2021-07-01,77.7,25.39
"LAGUARDIA AIRPORT, NY US",2021-08-01,79.3,26.28
"LAGUARDIA AIRPORT, NY US",2021-09-01,72.7,22.61
"LAGUARDIA AIRPORT, NY US",2021-10-01,64.7,18.17
"LAGUARDIA AIRPORT, NY US",2021-11-01,48.8,9.33
"LAGUARDIA AIRPORT, NY US",2021-12-01,45,7.22
"LAGUARDIA AIRPORT, NY US",2022-01-01,31.8,-0.11
"LAGUARDIA AIRPORT, NY US",2022-01-01,31.8,-0.11
"LAGUARDIA AIRPORT, NY US",2022-02-01,37.5,3.06
"LAGUARDIA AIRPORT, NY US",2022-02-01,37.5,3.06
"LAGUARDIA AIRPORT, NY US",2022-03-01,44.9,7.17
"LAGUARDIA AIRPORT, NY US",2022-03-01,44.9,7.17
"LAGUARDIA AIRPORT, NY US",2022-04-01,52.4,11.33
"LAGUARDIA AIRPORT, NY US",2022-04-01,52.4,11.33
"LAGUARDIA AIRPORT, NY US",2022-05-01,64.2,17.89
"LAGUARDIA AIRPORT, NY US",2022-05-01,64.2,17.89
"LAGUARDIA AIRPORT, NY US",2022-06-01,72.3,22.39
"LAGUARDIA AIRPORT, NY US",2022-06-01,72.3,22.39
"LAGUARDIA AIRPORT, NY US",2022-07-01,81.1,27.28
"LAGUARDIA AIRPORT, NY US",2022-07-01,81.1,27.28
"LAGUARDIA AIRPORT, NY US",2022-08-01,80.8,27.11
"LAGUARDIA AIRPORT, NY US",2022-08-01,80.8,27.11
"LAGUARDIA AIRPORT, NY US",2022-09-01,70.9,21.61
"LAGUARDIA AIRPORT, NY US",2022-09-01,70.9,21.61
"LAGUARDIA AIRPORT, NY US",2022-10-01,58.5,14.72
"LAGUARDIA AIRPORT, NY US",2022-10-01,58.5,14.72
"LAGUARDIA AIRPORT, NY US",2022-11-01,51.6,10.89
"LAGUARDIA AIRPORT, NY US",2022-11-01,51.6,10.89
"LAGUARDIA AIRPORT, NY US",2022-12-01,38.7,3.72
"LAGUARDIA AIRPORT, NY US",2022-12-01,38.7,3.72
"LAGUARDIA AIRPORT, NY US",2023-01-01,43.3,6.28
"LAGUARDIA AIRPORT, NY US",2023-02-01,40.8,4.89
"LAGUARDIA AIRPORT, NY US",2023-03-01,44.7,7.06
"LAGUARDIA AIRPORT, NY US",2023-04-01,57,13.89
"LAGUARDIA AIRPORT, NY US",2023-05-01,63.4,17.44
"LAGUARDIA AIRPORT, NY US",2023-06-01,70.9,21.61
"LAGUARDIA AIRPORT, NY US",2023-07-01,80.4,26.89
"LAGUARDIA AIRPORT, NY US",2023-08-01,76,24.44
"LAGUARDIA AIRPORT, NY US",2023-09-01,71,21.67
"LAGUARDIA AIRPORT, NY US",2023-10-01,62.1,16.72
"LAGUARDIA AIRPORT, NY US",2023-11-01,47.5,8.61
"LAGUARDIA AIRPORT, NY US",2023-12-01,44.3,6.83
"LAGUARDIA AIRPORT, NY US",2024-01-01,37.2,2.89
"LAGUARDIA AIRPORT, NY US",2024-02-01,39.6,4.22
"LAGUARDIA AIRPORT, NY US",2024-03-01,47.3,8.5
"LAGUARDIA AIRPORT, NY US",2024-04-01,53.7,12.06
"LAGUARDIA AIRPORT, NY US",2024-05-01,64.9,18.28
"LAGUARDIA AIRPORT, NY US",2024-06-01,76.1,24.5
"LAGUARDIA AIRPORT, NY US",2024-07-01,79.7,26.5
"LAGUARDIA AIRPORT, NY US",2024-08-01,76.7,24.83
"LAGUARDIA AIRPORT, NY US",2024-09-01,69.6,20.89