OBJECTID,DBH,TPStructure,TPCondition,StumpDiameter,PlantingSpaceGlobalID,Geometry,GlobalID,GenusSpecies,CreatedDate,UpdatedDate,PlantedDate,RiskRating,RiskRatingDate,Lat,Long
345036,8,Retired,Dead,9,EB68E7B7-4067-4890-A247-3D6B9829C455,POINT(-73.83168499364231 40.83979792089481),52411FAE-2034-463C-B867-3339656013EC,Betula papyrifera - paper birch,28:00.0,42:54.0,,,,-73.83168499,40.83979792
590965,6,Full,Good,,397F628E-849E-46BD-8570-162D0F1D100C,POINT(-73.86190112044243 40.888206439157344),0C390E30-4B2C-4D2A-B541-0999E3A4D180,Betula papyrifera - paper birch,20:13.0,39:43.0,,5,39:43.0,-73.86190112,40.88820644
590966,4,Full,Good,,51E13029-9FF3-4B86-9039-51D17821FBD7,POINT(-73.861736360747 40.8881539984833),BF6B0F31-1CCF-4483-9818-E2B131ABB92E,Betula papyrifera - paper birch,20:13.0,41:01.0,,5,41:01.0,-73.86173636,40.888154
1450630,9,Full,Good,,AC3A5ED8-A9FE-409A-9FEA-45EAE4B4454D,POINT(-73.84775770925016 40.903179706955804),559E5AB8-EDBD-4974-B246-71C4ABE0AC39,Betula papyrifera - paper birch,52:30.0,21:10.0,,7,21:10.0,-73.84775771,40.90317971
2242388,2,Full,Poor,0,E4680D46-24FE-432C-A38E-A4DC16356AA7,POINT(-73.89080336808848 40.829322011454565),9273BFD5-FB75-4AEA-8A95-1281C470E0D6,Betula papyrifera - paper birch,09:51.0,25:28.0,,5,25:27.0,-73.89080337,40.82932201
2246379,10,Full,Fair,0,6D4CB188-99C6-4CBD-83E9-C3FCD461DE50,POINT(-73.83637654779807 40.87312132735364),EEFA003E-315A-45D4-BB48-A5C398B6BA68,Betula papyrifera - paper birch,32:56.0,28:26.0,,7,28:25.0,-73.83637655,40.87312133
2246380,,Stump,Dead,11,2D628C31-E599-4486-AFDA-65C2F08E727F,POINT(-73.83637754386419 40.873123388432816),D5E15E91-A129-46A2-9C3A-EEAAA336F312,Betula papyrifera - paper birch,32:00.0,20:27.0,,8,07:00.0,-73.83637754,40.87312339
2256495,3,Retired,Dead,0,AA2DE26A-F43A-4262-A8D8-D1ADB55CA6FF,POINT(-73.88879279795857 40.819538637053725),DDA36FFF-7B88-4855-94A2-C6B54E8EFF29,Betula papyrifera - paper birch,29:00.0,46:00.0,,,,-73.8887928,40.81953864
2256497,3,Retired,Dead,0,44D2BEE3-7D0C-42B6-A58E-4B3EDAE161E9,POINT(-73.88873814278546 40.81933141225056),742646D2-3238-4ACC-970A-637DE504250B,Betula papyrifera - paper birch,29:00.0,44:00.0,,,,-73.88873814,40.81933141
2256498,3,Retired,Dead,0,9C8FB6FF-DD3E-4009-A82E-25E499B4D032,POINT(-73.88872110597084 40.819266822827),29840D40-70B6-4DE3-8634-2066A0331741,Betula papyrifera - paper birch,29:00.0,33:00.0,,,,-73.88872111,40.81926682
2256499,7,Full,Good,,24F453C0-ADA0-43F3-877B-D76E1EE85295,POINT(-73.88870435567046 40.8192033092642),79C3C948-BE90-453E-A4D8-826169D9B008,Betula papyrifera - paper birch,29:14.0,17:00.0,,7,17:00.0,-73.88870436,40.81920331
2538519,3,Full,Fair,0,8FA0D446-D207-4F82-96DD-A79F80A99728,POINT(-73.90879374809423 40.826300017055644),FB3406CE-A508-4810-9ED9-4DBAA67AA19A,Betula papyrifera - paper birch,35:19.0,20:01.0,,,,-73.90879375,40.82630002
2538520,3,Full,Fair,0,9BF724E3-ECC6-4CA4-821B-DC47C436D1D0,POINT(-73.90860789493435 40.82623651212991),C5FD2BF8-22D4-4000-BD16-CB94B2D04187,Betula papyrifera - paper birch,35:19.0,19:05.0,,,,-73.90860789,40.82623651
2557878,3,Full,Good,0,1E2B4AC9-D2F8-4689-B91C-9304BC37B770,POINT(-73.89795229961018 40.856786638390886),2DE84087-9EA3-4DE5-9E13-4240E9F1F3EA,Betula papyrifera - paper birch,26:04.0,31:02.0,,,,-73.8979523,40.85678664
2558435,10,Full,Good,,97B4C6D3-C086-4DFE-BD98-F70E3A3718FD,POINT(-73.8712483728054 40.89994636809913),9F6F08D1-DA7A-4F3C-ABED-FE18CFEDF49D,Betula papyrifera - paper birch,28:43.0,05:30.0,,6,05:30.0,-73.87124837,40.89994637
2558436,10,Full,Fair,,1661FB1C-16E3-470A-937A-BDFD38EE1BE1,POINT(-73.87127424684529 40.8999332625041),A1459A77-0771-4E7E-B06D-CEB40B15C155,Betula papyrifera - paper birch,28:43.0,05:30.0,,7,05:30.0,-73.87127425,40.89993326
2558437,7,Full,Fair,,E71644FC-D160-4A42-B90F-8CE4262227E8,POINT(-73.87130553481003 40.89991741311004),814C7BB6-90A4-42C8-BFF7-E705AD1F431F,Betula papyrifera - paper birch,28:43.0,04:59.0,,7,04:59.0,-73.87130553,40.89991741
2926202,7,Full,Good,,5D0C5A8F-F634-48C0-A347-8F2DB6C4350D,POINT(-73.88745309105302 40.84058548877577),0B53C658-A816-4354-905B-0337D9530519,Betula papyrifera - paper birch,30:15.0,32:50.0,,6,32:50.0,-73.88745309,40.84058549
2926203,6,Full,Good,,8A5E553E-50A8-4C5B-9700-A41A576D8418,POINT(-73.88739573979144 40.840641321974864),CD72B84E-752C-4588-8DC3-5CD701451CF2,Betula papyrifera - paper birch,30:15.0,32:00.0,,3,32:00.0,-73.88739574,40.84064132
2926312,2,Retired,Poor,0,0FA64874-2A9C-4B73-AA3F-017CADC80655,POINT(-73.88768130622923 40.8397338198299),117ACED8-624B-4B84-8EFD-02448BBCC3C2,Betula papyrifera - paper birch,30:36.0,09:09.0,,,,-73.88768131,40.83973382
3350869,5,Full,Poor,,C33C6619-1D25-4ECC-A89F-41EF5E6B9EC8,POINT(-73.82997459254244 40.83090779193447),476540A9-E14C-4F32-B96A-CF80631B858E,Betula papyrifera - paper birch,42:58.0,10:23.0,,5,10:23.0,-73.82997459,40.83090779
3357757,9,Full,Good,,4DBB5B22-7A7A-49E8-8E49-5700DB3351B1,POINT(-73.84929685023022 40.83865809298589),2CB2D7F6-016E-44FE-8930-C1494C947BC9,Betula papyrifera - paper birch,25:48.0,05:45.0,,3,05:45.0,-73.84929685,40.83865809
3638160,5,Full,Fair,,A3A9D787-F57C-435E-8DAC-49C2BD1166B2,POINT(-73.85420990112772 40.88751636950028),EA5EDCF3-1FB6-4060-A350-091E1C9F4A9B,Betula papyrifera - paper birch,25:46.0,21:10.0,,5,21:10.0,-73.8542099,40.88751637
3641315,5,Retired,Unknown,6,D3380D23-5A34-4C1F-AC77-D4AD7836432D,POINT(-73.86345206385622 40.823765157175565),19E91EF0-1281-4460-BB63-4D874DF11EAB,Betula papyrifera - paper birch,46:00.0,03:00.0,,7,05:00.0,-73.86345206,40.82376516
3915353,,Stump,Dead,0,2A022039-577F-4689-8018-45CFA8E75DC3,POINT(-73.81143848202002 40.86970167323156),8C20C80A-1B81-4331-AA2A-D80656023080,Betula papyrifera - paper birch,31:00.0,05:16.0,,9,33:28.0,-73.81143848,40.86970167
3915354,,Stump,Dead,0,FFFE3A5E-A86E-491B-BD7D-DC0DD0832845,POINT(-73.81146686436634 40.869654068739635),6565E97E-82F6-40BC-BA8D-F286E8DB3B41,Betula papyrifera - paper birch,24:00.0,47:13.0,,9,25:35.0,-73.81146686,40.86965407
3915355,,Stump,Dead,0,58EF742F-6867-48CB-8894-1FFDAE1A994D,POINT(-73.81142915072682 40.869671876262714),E30137D3-BA83-4AF3-B42D-E4E89978FDB3,Betula papyrifera - paper birch,16:00.0,01:35.0,,9,21:27.0,-73.81142915,40.86967188
4989803,,Retired,Dead,3,47DEF5D5-EF0A-40D1-BC06-1ABF8CA43586,POINT(-73.91278351503213 40.825101186941566),FC15D1F4-E7E6-4A9E-9AE8-3018427DE5ED,Betula papyrifera - paper birch,16:08.0,43:32.0,,7,17:40.0,-73.91278352,40.82510119
4989804,6,Retired,Fair,,20701A3C-289F-47A6-8224-198CE1F549AD,POINT(-73.91280116907691 40.8251066371196),420F3AA0-45E9-48AA-B7D4-F2E15E2B705C,Betula papyrifera - paper birch,12:47.0,43:12.0,,11,13:50.0,-73.91280117,40.82510664
5029422,5,Full,Good,,8F95EEC0-AF7D-4F3D-853C-4FD241E78400,POINT(-73.83449152202482 40.84036154303229),4E56188F-40E7-440D-A259-96AEBFB946E6,Betula papyrifera - paper birch,01:23.0,14:44.0,,6,14:44.0,-73.83449152,40.84036154
5052632,6,Full,Good,0,4F53ECFC-A7C4-4E8D-8096-0647A470E1D0,POINT(-73.89449061244014 40.852206772431494),4F53ECFC-A7C4-4E8D-8096-0647A470E1D0,Betula papyrifera - paper birch,11:11.0,31:25.0,,3,31:25.0,-73.89449061,40.85220677
5053521,,Retired,Dead,0,670BA95A-F6B6-477B-89AD-82F7DEE58BEB,POINT(-73.9127463895467 40.825125494776444),670BA95A-F6B6-477B-89AD-82F7DEE58BEB,Betula papyrifera - paper birch,11:00.0,44:03.0,,,,-73.91274639,40.82512549
5053636,3,Full,Good,0,89F6CC91-5FEB-4659-BFF0-8E4A89D5EEE0,POINT(-73.92681833906566 40.83506793912494),89F6CC91-5FEB-4659-BFF0-8E4A89D5EEE0,Betula papyrifera - paper birch,11:11.0,,,,,-73.92681834,40.83506794
5053749,4,Full,Good,,6F1BAFE9-1665-4AF3-B32E-E89F8A8C9C08,POINT(-73.89409806895335 40.831027151859),6F1BAFE9-1665-4AF3-B32E-E89F8A8C9C08,Betula papyrifera - paper birch,11:00.0,09:54.0,,3,09:54.0,-73.89409807,40.83102715
5054392,7,Full,Fair,,7F599A49-1DE3-414F-BA29-377C8704E75A,POINT(-73.89452727094775 40.85217298889926),7F599A49-1DE3-414F-BA29-377C8704E75A,Betula papyrifera - paper birch,11:11.0,58:59.0,,7,58:59.0,-73.89452727,40.85217299
5056543,6,Full,Good,0,B3E73142-6D15-4C79-8AAE-926FCD8AF4C2,POINT(-73.89456149786314 40.852133925293714),B3E73142-6D15-4C79-8AAE-926FCD8AF4C2,Betula papyrifera - paper birch,11:11.0,14:30.0,,5,14:30.0,-73.8945615,40.85213393
5059680,18,Full,Good,0,3AD79881-5704-42BB-B7F6-9EFC5A08E60B,POINT(-73.90624382698687 40.82850536269913),3AD79881-5704-42BB-B7F6-9EFC5A08E60B,Betula papyrifera - paper birch,11:11.0,,,,,-73.90624383,40.82850536
5059776,6,Full,Good,0,F9748657-BE1C-4EBB-A002-BCE2AC2766C1,POINT(-73.91736545456399 40.80799800071294),F9748657-BE1C-4EBB-A002-BCE2AC2766C1,Betula papyrifera - paper birch,11:00.0,15:24.0,,4,15:24.0,-73.91736545,40.807998
5061253,12,Full,Good,0,58CB993D-0DC4-4B8D-AEED-F0994777947D,POINT(-73.87745215473811 40.874413244489915),58CB993D-0DC4-4B8D-AEED-F0994777947D,Betula papyrifera - paper birch,11:11.0,,,,,-73.87745215,40.87441324
5061806,3,Full,Good,0,712C68F9-7BDD-406E-B371-3FE40B421CCD,POINT(-73.92679219289224 40.83511903650458),712C68F9-7BDD-406E-B371-3FE40B421CCD,Betula papyrifera - paper birch,11:11.0,,,,,-73.92679219,40.83511904
5062065,7,Full,Good,,BA3A15BE-5E46-4A24-B5E6-0A6F90279C33,POINT(-73.90552210167483 40.813711292676714),BA3A15BE-5E46-4A24-B5E6-0A6F90279C33,Betula papyrifera - paper birch,11:00.0,01:18.0,,5,01:18.0,-73.9055221,40.81371129
5062592,7,Full,Good,,BE6C1FD3-D2BD-4360-BE56-7B1D57830F51,POINT(-73.91396840677268 40.821916904065056),BE6C1FD3-D2BD-4360-BE56-7B1D57830F51,Betula papyrifera - paper birch,11:00.0,57:07.0,,5,57:07.0,-73.91396841,40.8219169
5063836,16,Full,Good,0,1AE57B15-DF3D-4959-86FF-9F0A3FA0ECC3,POINT(-73.91732429229747 40.8079416934811),1AE57B15-DF3D-4959-86FF-9F0A3FA0ECC3,Betula papyrifera - paper birch,11:00.0,26:28.0,,5,26:28.0,-73.91732429,40.80794169
5064795,6,Full,Good,0,DCDFC124-A31B-469E-B614-2C5801DF57F2,POINT(-73.91730285815812 40.80800924236462),DCDFC124-A31B-469E-B614-2C5801DF57F2,Betula papyrifera - paper birch,11:00.0,07:59.0,,3,07:59.0,-73.91730286,40.80800924
5064996,13,Full,Good,0,C6E4F67E-F4EE-42DB-8C5D-BE84EA9061BB,POINT(-73.91734943989141 40.80796233983401),C6E4F67E-F4EE-42DB-8C5D-BE84EA9061BB,Betula papyrifera - paper birch,11:00.0,23:49.0,,5,23:49.0,-73.91734944,40.80796234
5079892,6,Full,Good,,2873B6CC-055E-4035-852A-55CBFEBF303E,POINT(-73.89662013735646 40.89116665065636),913671CE-B787-4973-A1BF-3B4EC69208F6,Betula papyrifera - paper birch,39:55.0,39:59.0,,,,-73.89662014,40.89116665
5083132,5,Full,Good,,1BD352BD-11F0-4837-8CD9-11DE06690063,POINT(-73.8719014990066 40.900027334857256),B738DC3D-B17E-4CE1-A420-8E083CAD62AE,Betula papyrifera - paper birch,03:45.0,24:09.0,,4,24:09.0,-73.8719015,40.90002733
5095172,5,Full,Good,0,98875313-1092-4C45-8158-7F173CC83DD3,POINT(-73.91850708684343 40.80963908230509),98875313-1092-4C45-8158-7F173CC83DD3,Betula papyrifera - paper birch,11:00.0,47:39.0,,3,47:39.0,-73.91850709,40.80963908
5101872,11,Full,Fair,,265B680A-C454-4061-A3CA-52987210925F,POINT(-73.83937579685951 40.874091907113545),265B680A-C454-4061-A3CA-52987210925F,Betula papyrifera - paper birch,11:11.0,11:09.0,,5,11:09.0,-73.8393758,40.87409191
5103765,4,Full,Fair,0,A4421134-AD52-4B2A-BD8A-D588A90EC1EA,POINT(-73.91839969285928 40.80960082494581),A4421134-AD52-4B2A-BD8A-D588A90EC1EA,Betula papyrifera - paper birch,11:00.0,43:15.0,,4,43:16.0,-73.91839969,40.80960082
5110133,4,Full,Good,0,E396876E-FF32-4CA2-B12E-2CE76B9E976F,POINT(-73.9184582208439 40.809625024501486),E396876E-FF32-4CA2-B12E-2CE76B9E976F,Betula papyrifera - paper birch,11:00.0,45:16.0,,3,45:16.0,-73.91845822,40.80962502
5113117,8,Full,Good,0,83F96571-379D-4C2C-BB5D-606B5B655AE6,POINT(-73.83928522814226 40.87406830413782),83F96571-379D-4C2C-BB5D-606B5B655AE6,Betula papyrifera - paper birch,11:11.0,,,,,-73.83928523,40.8740683
5113855,5,Full,Good,0,9E1CBB1A-CFC2-436A-AD05-CE3EF0B42EC0,POINT(-73.90907393248953 40.88227746083699),9E1CBB1A-CFC2-436A-AD05-CE3EF0B42EC0,Betula papyrifera - paper birch,11:11.0,25:53.0,,3,25:52.0,-73.90907393,40.88227746
5297032,3,Full,Good,,DF2AB489-044C-4673-9B78-C5A84641A8D4,POINT(-73.81830532110624 40.84768804034423),F4DFBEFF-A06F-433C-8250-5F06B6FB5D8A,Betula papyrifera - paper birch,02:31.0,18:36.0,,,,-73.81830532,40.84768804
5434844,8,Full,Good,,A8840AE8-C312-4942-9FFA-07D8684E988A,POINT(-73.83651791339435 40.88871026739939),E2D913F6-39BE-4CA9-977A-3BC529631C00,Betula papyrifera - paper birch,11:11.0,21:51.0,,6,21:51.0,-73.83651791,40.88871027
5436464,2,Full,Good,0,D1D6AB85-D4FC-45BC-B1C3-AF34EB4D29B0,POINT(-73.85324708329291 40.81249562935198),8FC0B61E-8F0F-4BC2-ACF5-5E05D1A6A96F,Betula papyrifera - paper birch,11:11.0,,,,,-73.85324708,40.81249563
5438057,3,Full,Good,0,B13423BF-56E2-4842-BE54-13538C4D7475,POINT(-73.85324633633056 40.81254187416301),4CEEDFA1-792B-41F6-ADAD-FD926B6028E7,Betula papyrifera - paper birch,11:11.0,,,,,-73.85324634,40.81254187
5581614,17,Stump,Dead,17,95B3D812-44C1-47D0-B62F-DFC55C11CD36,POINT(-73.80204772419778 40.865172656946505),8DF73F28-66F7-4DDD-8CFB-13FE8E0A5F3A,Betula papyrifera - paper birch,11:11.0,04:42.0,,5,10:54.0,-73.80204772,40.86517266
5587067,7,Retired,Dead,0,47615746-3A63-4D1A-90B8-24F24724EF29,POINT(-73.91529876473471 40.80564165980674),D68DACDE-B537-4E90-ACC5-ED86434FD444,Betula papyrifera - paper birch,11:00.0,32:44.0,,4,07:52.0,-73.91529876,40.80564166
5588044,18,Full,Good,0,ED91A618-F21A-432F-BEBC-913D4E1DEE03,POINT(-73.89368408567712 40.8909993232436),92006DCA-F0C6-4843-BE77-B049F5D2221F,Betula papyrifera - paper birch,11:11.0,,,,,-73.89368409,40.89099932
5588529,6,Full,Good,0,A645F447-E8F3-4B00-8A28-9D0DF5F3C829,POINT(-73.80211389051564 40.86513987344985),F0753FD0-33BE-45F3-AB1A-BF67F6D272D7,Betula papyrifera - paper birch,11:11.0,,,,,-73.80211389,40.86513987
5590200,13,Full,Poor,0,722446D3-CD3B-4F2F-9594-CC5DE589D047,POINT(-73.87398442774683 40.831751577258416),D85DF608-C9D7-4CDE-A176-7837C15B25CA,Betula papyrifera - paper birch,11:11.0,,,,,-73.87398443,40.83175158
5590633,15,Full,Good,,3F1CF277-BA5E-4F4D-AA29-26281D90C8F3,POINT(-73.88476206602185 40.84852215993311),F798A036-8406-4029-BE18-BA2E1B43AA3A,Betula papyrifera - paper birch,11:00.0,49:57.0,,5,49:57.0,-73.88476207,40.84852216
5591990,13,Full,Fair,,7B96C5B9-EFC8-44C5-834C-E9AB087652EB,POINT(-73.80197505728681 40.86511650599209),4B32CD10-E3C5-4CD4-B448-520E056AF783,Betula papyrifera - paper birch,11:11.0,11:55.0,,6,11:55.0,-73.80197506,40.86511651
5598166,17,Stump,Dead,17,789E22A7-BD87-414C-A276-574C99679452,POINT(-73.80187610745742 40.865117405994795),829858A3-D860-4F1A-A531-0711A5468F89,Betula papyrifera - paper birch,11:11.0,05:55.0,,5,11:58.0,-73.80187611,40.86511741
5598671,13,Full,Good,,168B7AA5-42EF-48EE-A5E3-2F94000570AD,POINT(-73.90367259343088 40.83805427701181),D00407BC-163D-481E-A750-94881729111D,Betula papyrifera - paper birch,11:00.0,55:00.0,,5,55:00.0,-73.90367259,40.83805428
5598856,19,Stump,Dead,20,3A43D9F2-C42B-4A4E-82EA-AB59C7B5E096,POINT(-73.80193020713045 40.86516992271714),A408076A-48DA-491F-B974-01A761F6B0EC,Betula papyrifera - paper birch,11:11.0,03:39.0,,6,52:19.0,-73.80193021,40.86516992
5601200,8,Full,Good,0,44B1ADDA-398A-45D5-847C-C0C10FF9DE17,POINT(-73.87151304220164 40.85542952862907),DA91BF8A-D741-4FD2-A15B-4929648DFD0A,Betula papyrifera - paper birch,11:11.0,,,,,-73.87151304,40.85542953
5974038,3,Full,Fair,0,9B5FB4BB-86EA-4E9B-8617-C351E87470FA,POINT(-73.91332141728871 40.8361737812958),4017DFE9-83EF-420E-8846-560B573882B0,Betula papyrifera - paper birch,11:00.0,16:00.0,,,,-73.91332142,40.83617378
6661844,2,Full,Good,,2BA6788D-F6CC-47E9-B738-D06131117338,POINT(-73.90027212944945 40.90466453840361),79309959-9BF2-49B1-9DEB-999E100829E4,Betula papyrifera - paper birch,21:11.0,21:54.0,,3,21:51.0,-73.90027213,40.90466454
6663536,3,Retired,Good,,B00D499D-BA9A-4150-B3D8-BF4E481139C5,POINT(-73.88462777328256 40.815030266753105),ACA8C29B-3812-4151-8981-CA7FB75A791F,Betula papyrifera - paper birch,10:00.0,07:19.0,00:00.0,3,14:32.0,-73.88462777,40.81503027
10298876,6,Full,Poor,,4E84BDC7-2877-4C23-AEA1-D713DDA56450,POINT(-73.91524591147048 40.805629510431),0C6C9B4F-100E-4353-8AB2-BCB10BAF17EE,Betula papyrifera - paper birch,27:00.0,30:15.0,,7,30:15.0,-73.91524591,40.80562951
10343259,18,Full,Good,,6C38FE9B-B27D-4407-86E0-8C64F0EBA905,POINT(-73.91739804460342 40.807957759529216),B1B49EDF-E076-44E2-B40E-67E0C162035B,Betula papyrifera - paper birch,33:00.0,34:17.0,,3,34:17.0,-73.91739804,40.80795776
14956669,2,Full,Excellent,,1612D620-360C-4D9E-A30C-8F11B20AE2D5,POINT(-73.9252487085945 40.831206415801674),26BBB10C-2705-4D88-8CFD-253E6EF7F17F,Betula papyrifera - paper birch,40:05.0,,,,,-73.92524871,40.83120642
16647142,3,Full,Good,,88A7F05C-D2E8-4940-B092-CD8F9B8149C1,POINT(-73.91126238909246 40.85267558590638),5B16D1C4-F4DD-4722-9DDE-9610B53054A0,Betula papyrifera - paper birch,37:28.0,38:17.0,,4,38:17.0,-73.91126239,40.85267559
16690402,3,Full,Excellent,,2D0DF199-7A8E-4D4E-9DC7-37F8CF6471C0,POINT(-73.80066692694227 40.86613943984112),29D80CD9-874A-4F11-B117-55985DDE293E,Betula papyrifera - paper birch,41:00.0,50:30.0,00:00.0,,,-73.80066693,40.86613944
16690403,3,Full,Excellent,,85BD7B9B-E177-4745-A248-8DE3A9B9F065,POINT(-73.8005556743973 40.86634712571322),8CB30BEC-5E6E-4655-A589-8F8C83E1FBBD,Betula papyrifera - paper birch,44:00.0,51:20.0,00:00.0,,,-73.80055567,40.86634713
16690404,3,Full,Excellent,,4D7EA7D3-ECCF-4CD7-944F-287D223B2ACC,POINT(-73.80046568931799 40.86626536782401),1542B452-FBEA-4020-A37F-2765DA438635,Betula papyrifera - paper birch,47:00.0,48:58.0,00:00.0,,,-73.80046569,40.86626537
